ID,income
126549,10000000
55496,15000000
8645,
5360,30000000
66748,50000000
108235,14000000
107280,
66498,12000000
122092,250000000
102109,10000000
8324,10000000
102629,40000000
51347,
103117,20000000
106835,60000000
124815,15000000
7455,
3899,10000000
1206,
73280,15000000
67471,
74557,25000000
55366,10000000
4278,50000000
75988,0
123954,25000000
64212,15000000
109215,20000000
103957,20000000
125652,15000000
9333,8000000
129076,
66549,7000000
67198,15000000
57901,15000000
8913,
131094,
129379,500000000
5574,10000000
108778,8000000
66854,
120852,45000000
108406,50000000
53861,800000
103695,18000000
126924,20000000
125393,12000000
126310,8
104097,10000000
8222,10000000
9165,10000000
103014,200000000
103625,15000000
796,20000000
113734,10000000
110040,100000000
121894,40000000
67721,15000000
75228,100000000
4703,15000000
103363,10000000
9745,10000000
67304,3000000
8254,5000000
110256,7000000
114908,35000000
131881,9000000
120878,40000000
123775,20000000
55389,7000000
81013,10000000
99046,15000000
92877,5000000
9449,
52936,5000000
63577,
103569,6000000
6005,20000000
128566,100000000
112738,6000000
100608,50000000
77404,200000
55432,10000000
92053,
67248,15000000
75670,25000000
7849,20000000
7522,10000000
124045,
110876,
9646,200000
103808,100000000
128881,25000000
112467,5000000
122826,10000000
4379,20000000
127151,25000000
67396,10000000
103082,
7458,10000000
64140,10000000
130323,25000000
62401,
104610,30000000
36631,20000000
1033,12000000
9502,15000000
101040,10000000
116927,
98306,4000000
103469,7000000
105837,15000000
121323,30000000
109710,300000000
941,12000000
5013,15000000
94056,50000000
102538,
67351,20000000
99630,300000000
116556,1000000000
104383,15000000
108526,4000000
119858,20000000
99735,15000000
126499,20000000
105266,100000000
110218,11000000
4279,10000000
9489,20000000
105816,12000000
111053,5000000
55380,10000000
67711,10000000
67741,12000000
110889,10000000
105005,8000000
129641,
101766,8000000
5582,4000000
31025,500000
8119,12000000
67502,4000
9780,500000
130670,
67115,
123505,40000000
2943,6000000
109574,12000000
127160,
124738,22000000
66601,10000000
99141,15000000
41605,10000000
5905,5000000
7403,10000000
128719,15000000
4982,13000000
54128,10000000
101262,6000000
4024,14000000
115341,20000000
9073,6000000
5677,20000000
129936,25000000
124725,50000000
113039,50000000
4315,5000000
127808,7000000
113849,20000000
98575,20000000
111858,35000000
115884,25000000
128816,60000000
7303,
5021,500000
131676,100000000
131510,20000000
103809,50000000
92540,8000000
123699,100000000
99400,15000000
67116,105000000
107076,18000000
106582,
103788,25000000
3697,5000000
6604,
7414,15000000
67514,10000000
65995,10000000
112164,15000000
67369,
102814,20000000
54267,14000000
111661,
102709,25000000
104945,7000000
98949,17000000
1862,15000000
67616,19000000
48180,7000000
67736,26000000
3857,50000000
64073,6000000
102063,20000000
124340,20000000
93805,
98768,50000000
83291,10000000
67201,8000000
8924,20000000
8139,
119681,9000000
93281,11000000
98773,15000000
113038,20000000
103094,15000000
103567,9000000
130276,20000000
124027,20000000
128440,20000000
99037,7000000
114468,10000000
66784,
115862,15000000
4822,12000000
9401,15000000
5435,10000000
67494,500000
119958,30000000
703,20000000
102984,15000000
98729,7000000
65948,4000000
4700,8000000
2278,20000000
2442,7000000
102310,12000000
65981,20000000
130095,5000000
99963,5000000
8976,15000000
75729,10000000
129944,25000000
66256,5200000
104866,
122345,8000000
104715,50000000
54234,20000000
128289,10000
99664,30000000
54279,60000000
98266,15000000
123100,10000000
121605,11000000
3997,5000000
